OBJECTID,Request__,Status,Request_Type,Subrequest_Type,Additional_Subrequest_Type,Request_Origin,Contact_Type,Preferred_Language,State_Issue,Parent_Request,Address,City,Council_District,Latitude,Longitude,Date_Time_Opened,Date_Time_Closed,ZIP,GlobalID
86,707334,Closed,"Trash, Recycling & Litter",Missed Pickup - Trash Cart Service,Trash - Curbside/Alley Missed Pickup,Phone,,,False,,"1440 Litton Ave, Nashville, TN 37216, United States",NASHVILLE,7.0,36.2007018,-86.7279434,2021-06-14 21:23:16,2021-06-15 16:20:13,37216,00cbbde4-379b-433d-8958-76b3eaa6fa31
87,702521,Closed,"Trash, Recycling & Litter",Missed Pickup - Trash Cart Service,Trash - Curbside/Alley Missed Pickup,Phone,,,False,,"5045 Mountain Springs Rd, Nashville, TN 37013, United States",ANTIOCH,32.0,36.0445494,-86.61218579999999,2021-06-08 15:55:55,2021-06-09 20:24:36,37013,a902375f-2d2f-44dd-9251-cb0d52ebe996
88,703906,Closed,Public Safety,Control Number Request for Towing,Control Number Request for Towing,Mobile App,,,False,,"2201 Jackson Downs Blvd, Nashville, TN 37214, USA",NASHVILLE,14.0,36.18172257608828,-86.6414282284677,2021-06-09 19:05:49,2021-06-09 19:05:49,37214,34b8eb7b-3cfc-45fc-8b24-9688acef3563
89,695925,Closed,"Trash, Recycling & Litter",Missed Pickup - Trash Cart Service,Trash - Curbside/Alley Missed Pickup,,,,,,"413 Ashby Pl, Nashville, TN 37013, United States",ANTIOCH,8.0,36.0708759,-86.5810582,2021-05-31 21:49:16,2021-06-05 09:26:48,37013,66bfe6ef-b36f-4658-8eec-28aab9070e1b
90,700128,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-06-04 17:27:51,2021-06-04 17:27:51,,af055740-40c4-4aff-8626-6f108da795df
91,932937,Closed,Public Safety,Control Number Request for Towing,Control Number Request for Towing,hubNashville Community,,,False,,"2901 John A Merritt Blvd, Nashville, TN 37209, United States",NASHVILLE,21.0,36.1669545,-86.8220735,2022-04-01 21:02:37,2022-04-01 21:02:37,37209,57ce0963-b784-41d5-8dbb-23858968988a
92,705453,Closed,Pothole,Potholes,Roadway,Phone,,,False,,Thompson Ln & Old Powell Ave,NASHVILLE,26.0,36.11235509999999,-86.7679775,2021-06-11 15:40:25,2021-06-14 16:19:04,37204,85a5e79b-6c89-48ea-84cb-fe79c33588b4
93,708020,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-06-15 17:54:12,2021-06-15 17:54:12,,6d46eb5e-2db4-42e2-bc48-ccc4fcd3d88e
94,694489,New,Public Safety,Blasting Reports,Blasting Reports,hubNashville Community,,,False,,"1390 Bain Dr, Nashville, TN 37115, United States",MADISON,9.0,36.28344,-86.70033,2021-05-27 19:25:44,,37115,5adb175d-e075-4524-8992-26338b086867
95,701923,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-06-07 20:27:50,2021-06-07 20:27:50,,ab849b8c-efda-425f-b9b4-fc46e613d205
96,698680,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,"4813 Timberhill Dr, Nashville, TN 37211, United States",NASHVILLE,26.0,36.076878,-86.7555828,2021-06-03 14:33:22,2021-06-03 14:33:22,37211,9481f43b-eba0-4840-b3e1-d51616279a39
97,693622,Closed,"Trash, Recycling & Litter",Cart Service,Recycling - Request an Additional Cart,hubNashville Community,,,False,,"605 Cottonwood Dr, Nashville, TN 37214, United States",NASHVILLE,15.0,36.15853766272139,-86.6547190821178,2021-05-26 19:51:12,2021-06-17 20:27:12,37214,a09e957f-1f07-45f8-adea-3f9c03560c8b
98,704013,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-06-09 20:32:25,2021-06-09 20:32:25,,3a68098f-07f6-4720-8e3f-08faa8a489d8
99,702976,Closed,Public Safety,Control Number Request for Towing,Control Number Request for Towing,hubNashville Community,,,False,,"W Trinity Ln & Buena Vista Pike, Nashville, TN 37218, USA",NASHVILLE,2.0,36.2024733,-86.8205105,2021-06-08 20:10:24,2021-06-08 20:10:24,37218,5a367c95-c38f-4d33-b6e9-59ccfdceef66
100,708819,Closed,Public Safety,Request Non-Emergency Police Assistance,,Phone,,,False,,"171 3rd Ave N, Nashville, TN 37201, United States",NASHVILLE,19.0,36.16336,-86.77728,2021-06-16 16:15:07,2021-06-16 18:01:45,37201,8bf4760b-9221-4f6f-8502-708ca80862d1
101,695334,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,"73 Fairfield Ave, Nashville, TN 37210, United States",NASHVILLE,17.0,36.1507556,-86.7567602,2021-05-28 20:07:45,2021-05-28 20:07:45,37210,c1fcdfd2-655d-48b1-9634-b38eb1c8a325
