OBJECTID,Request__,Status,Request_Type,Subrequest_Type,Additional_Subrequest_Type,Request_Origin,Contact_Type,Preferred_Language,State_Issue,Parent_Request,Address,City,Council_District,Latitude,Longitude,Date_Time_Opened,Date_Time_Closed,ZIP,GlobalID
55,696249,Closed,Property Violations,Junk and Debris,Junk and Debris,Mobile App,,,False,,"1042 2nd Ave S, Nashville, TN 37210, USA",NASHVILLE,17.0,36.14856,-86.7663063,2021-06-01 15:00:23,2021-06-03 07:18:07,37210,f026c793-da8a-461e-9862-f492c7eb4836
56,693438,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-05-26 17:42:06,2021-05-26 17:42:06,,da444ee5-45c9-4404-a370-b01dc1aacabc
58,696036,Closed,"Trash, Recycling & Litter",Cart Service,Recycling - Request an Additional Cart,Phone,,,False,,"1134 4th Ave S, Nashville, TN 37210, United States",NASHVILLE,17.0,36.1452859,-86.7665303,2021-06-01 13:20:34,2021-06-08 20:15:15,37210,c4828a64-6aa4-4d5b-9c5b-46a8c9b6f1ed
59,705527,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-06-11 16:37:09,2021-06-11 16:37:09,,fc126690-6c04-4cef-95ae-3f7bca97b5f4
60,698409,Closed,"Trash, Recycling & Litter",Missed Pickup - Recycle Cart Service,Recycle - Curbside/Alley Missed Pickup,,,,,,"1241 McAlpine Ave, Nashville, TN 37216, United States",NASHVILLE,7.0,36.2177791,-86.718943,2021-06-03 11:55:30,2021-06-08 20:16:49,37216,a3bc4f8e-c987-4a83-9822-92ab38704b41
61,705211,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-06-11 13:12:11,2021-06-11 13:12:11,,f48f2973-4813-4384-9946-49b7def3f651
62,707844,Closed,"Streets, Roads & Sidewalks",Remove debris in roadway,Roadway,Phone,,,False,,"3005 W Towne Village Ct, Nashville, TN 37013, United States",ANTIOCH,29.0,36.07393,-86.60967,2021-06-15 16:10:12,2021-06-22 16:14:12,37013,c3813e9f-08b3-493f-86cb-2e242ffc87f6
63,700723,Closed,"Trash, Recycling & Litter",Missing Trash Cart,,,,,,,"2520 Nashboro Blvd, Nashville, TN 37217, United States",NASHVILLE,13.0,36.09299,-86.63362,2021-06-05 17:44:45,2021-06-08 16:25:05,37217,5a20b5da-a183-41af-99eb-70bd52e167e8
64,707931,Closed,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Resolved by hubNashville on First Call,Phone,,,False,,,,,,,2021-06-15 16:56:10,2021-06-15 16:56:10,,8d967649-b802-44ba-a38e-696b341a34eb
65,705198,Closed,"Trash, Recycling & Litter",Missed Pickup - Trash Cart Service,Trash - Backdoor,Phone,,,False,,"3622 Floral Dr, Nashville, TN 37211, United States",NASHVILLE,16.0,36.0960617,-86.7339755,2021-06-11 13:04:00,2021-06-14 20:24:44,37211,03c28d41-b4ca-464b-968a-3a2d7e796efc
