Forecast_Number,Start_Time,End_Time,Temperature,Temperature_Unit,Precipitation_Probability,Wind_Speed,Wind_Direction,Short_Forecast,Latitude,Longitude
45,2026-09-25T13:00:00-05:00,2026-09-25T14:00:00-05:00,79,F,1,5 mph,NNE,Mostly Sunny,36.1627,-86.7816
46,2026-09-25T14:00:00-05:00,2026-09-25T15:00:00-05:00,80,F,1,5 mph,NNE,Mostly Sunny,36.1627,-86.7816
47,2026-09-25T15:00:00-05:00,2026-09-25T16:00:00-05:00,80,F,1,10 mph,NNE,Mostly Sunny,36.1627,-86.7816
48,2026-09-25T16:00:00-05:00,2026-09-25T17:00:00-05:00,81,F,1,10 mph,NNE,Sunny,36.1627,-86.7816
49,2026-09-25T17:00:00-05:00,2026-09-25T18:00:00-05:00,79,F,1,10 mph,NNE,Sunny,36.1627,-86.7816
50,2026-09-25T18:00:00-05:00,2026-09-25T19:00:00-05:00,78,F,1,5 mph,NNE,Mostly Clear,36.1627,-86.7816
51,2026-09-25T19:00:00-05:00,2026-09-25T20:00:00-05:00,76,F,0,5 mph,NNE,Mostly Clear,36.1627,-86.7816
52,2026-09-25T20:00:00-05:00,2026-09-25T21:00:00-05:00,73,F,0,5 mph,NNE,Mostly Clear,36.1627,-86.7816
53,2026-09-25T21:00:00-05:00,2026-09-25T22:00:00-05:00,70,F,0,5 mph,NE,Mostly Clear,36.1627,-86.7816
54,2026-09-25T22:00:00-05:00,2026-09-25T23:00:00-05:00,67,F,0,5 mph,NE,Mostly Clear,36.1627,-86.7816
55,2026-09-25T23:00:00-05:00,2026-09-26T00:00:00-05:00,65,F,0,5 mph,NE,Mostly Clear,36.1627,-86.7816
56,2026-09-26T00:00:00-05:00,2026-09-26T01:00:00-05:00,64,F,0,5 mph,NE,Mostly Clear,36.1627,-86.7816
57,2026-09-26T01:00:00-05:00,2026-09-26T02:00:00-05:00,62,F,0,5 mph,NE,Mostly Clear,36.1627,-86.7816
58,2026-09-26T02:00:00-05:00,2026-09-26T03:00:00-05:00,61,F,0,5 mph,NE,Mostly Clear,36.1627,-86.7816
59,2026-09-26T03:00:00-05:00,2026-09-26T04:00:00-05:00,60,F,0,5 mph,NE,Partly Cloudy,36.1627,-86.7816
60,2026-09-26T04:00:00-05:00,2026-09-26T05:00:00-05:00,59,F,0,5 mph,NE,Partly Cloudy,36.1627,-86.7816
61,2026-09-26T05:00:00-05:00,2026-09-26T06:00:00-05:00,58,F,0,5 mph,NE,Partly Cloudy,36.1627,-86.7816
62,2026-09-26T06:00:00-05:00,2026-09-26T07:00:00-05:00,58,F,0,0 mph,,Mostly Sunny,36.1627,-86.7816
63,2026-09-26T07:00:00-05:00,2026-09-26T08:00:00-05:00,57,F,0,0 mph,,Mostly Sunny,36.1627,-86.7816
